Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1617667200,5668,4719,236,3,42,2
AP,1617667200,3029,2759,52,6,20,0
EA,1617667200,1437,1211,56,9,35,0
EF,1617667200,6513,5908,226,14,14,2
EIC,1617667200,5133,4651,197,17,31,3
G,1617667200,4297,3721,135,22,57,0
GRZ,1617667200,6033,4192,137,28,11,0
GTH,1617667200,6025,5353,173,14,73,0
HBN,1617667200,4313,3936,216,12,12,0
IK,1617667200,4679,4037,171,36,35,3
J,1617667200,3403,3091,61,20,19,0
KYF,1617667200,2778,2487,113,2,21,0
NDH,1617667200,1973,1839,50,2,11,0
SHK,1617667200,3621,3239,87,10,36,0
SHL,1617667200,1699,1496,99,10,13,1
SLF,1617667200,5277,4758,239,11,34,0
SM,1617667200,8035,7174,299,9,72,5
SOK,1617667200,4957,4389,119,13,90,-1
SOM,1617667200,2985,2678,105,7,25,1
SON,1617667200,3084,2718,147,17,2,0
UH,1617667200,5281,4918,213,14,14,0
WAK,1617667200,6050,5073,185,29,108,1
WE,1617667200,2025,1840,94,0,11,0
TH,1617667200,98295,86187,3410,305,786,17
