Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1609113600,2734,1169,42,0,5,0
AP,1609113600,978,793,8,12,17,0
EA,1609113600,497,281,7,9,9,0
EF,1609113600,2743,2220,58,19,49,1
EIC,1609113600,2060,1436,57,2,35,0
G,1609113600,2029,1321,77,36,25,5
GRZ,1609113600,2261,1805,65,17,30,0
GTH,1609113600,1807,1361,63,16,49,5
HBN,1609113600,2193,1556,58,82,81,4
IK,1609113600,1870,1354,43,26,35,8
J,1609113600,1652,1143,17,4,18,1
KYF,1609113600,1066,832,25,4,17,2
NDH,1609113600,782,605,15,20,13,0
SHK,1609113600,1397,928,22,22,17,0
SHL,1609113600,658,420,15,13,17,1
SLF,1609113600,2119,1395,61,39,44,10
SM,1609113600,2552,1963,66,65,70,7
SOK,1609113600,1956,1424,30,28,59,9
SOM,1609113600,1089,844,24,13,18,3
SON,1609113600,1845,1350,67,11,26,5
UH,1609113600,2453,1483,45,54,46,1
WAK,1609113600,1976,1290,21,25,66,2
WE,1609113600,930,673,21,26,17,7
TH,1609113600,39647,27646,907,543,763,71
