Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1678752000,40471,39784,534,8,13,0
AP,1678752000,32649,32386,151,7,6,0
EA,1678752000,0,0,0,0,0,0
EF,1678752000,80969,80033,628,31,6,0
EIC,1678752000,47277,46721,387,24,13,0
G,1678752000,36873,36398,411,7,4,0
GRZ,1678752000,39485,38956,446,12,4,0
GTH,1678752000,53085,52577,382,18,5,0
HBN,1678752000,28299,27760,443,4,3,0
IK,1678752000,48608,48082,461,0,10,0
J,1678752000,47313,46906,185,27,15,0
KYF,1678752000,26934,26591,276,7,1,0
NDH,1678752000,29186,28978,113,9,3,0
SHK,1678752000,37926,37452,260,20,45,0
SHL,1678752000,12906,12660,210,8,3,0
SLF,1678752000,42124,41401,603,5,14,0
SM,1678752000,57080,56224,767,8,15,0
SOK,1678752000,34541,34055,356,9,8,0
SOM,1678752000,27753,27439,269,5,0,0
SON,1678752000,24717,24295,311,10,4,0
UH,1678752000,43963,43446,452,8,4,1
WAK,1678752000,64963,64104,470,42,16,0
WE,1678752000,27549,27283,197,8,16,0
TH,1678752000,884671,873531,8312,277,208,1
