Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1595894400,79,75,4,0,2,0
AP,1595894400,77,71,4,0,0,0
EA,1595894400,34,28,2,1,0,0
EF,1595894400,142,138,2,2,0,0
EIC,1595894400,162,153,9,0,0,0
G,1595894400,262,237,22,1,0,0
GRZ,1595894400,668,620,48,0,0,0
GTH,1595894400,319,288,30,0,1,0
HBN,1595894400,84,75,1,0,0,0
IK,1595894400,144,136,6,0,1,0
J,1595894400,163,160,3,0,0,0
KYF,1595894400,55,52,0,0,0,0
NDH,1595894400,67,64,2,0,0,0
SHK,1595894400,73,70,3,0,0,0
SHL,1595894400,21,19,2,0,0,0
SLF,1595894400,72,72,0,0,0,0
SM,1595894400,162,154,4,0,0,0
SOK,1595894400,150,138,12,0,0,0
SOM,1595894400,42,40,1,0,0,0
SON,1595894400,306,284,22,0,0,0
UH,1595894400,92,89,3,0,0,0
WAK,1595894400,92,86,2,0,0,0
WE,1595894400,89,76,0,0,2,0
TH,1595894400,3355,3125,182,4,6,0
