Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1642723200,14306,13051,387,39,7,1
AP,1642723200,11264,10424,118,75,44,0
EA,1642723200,0,0,0,0,0,0
EF,1642723200,25906,24593,405,169,102,0
EIC,1642723200,11920,11097,301,61,23,0
G,1642723200,12675,12006,321,45,18,1
GRZ,1642723200,16489,14693,300,28,57,1
GTH,1642723200,21440,20351,313,51,5,1
HBN,1642723200,12895,11654,366,15,1,0
IK,1642723200,17222,16175,396,26,2,0
J,1642723200,11775,10259,122,76,38,0
KYF,1642723200,9606,9040,208,22,23,0
NDH,1642723200,7843,7380,93,61,30,0
SHK,1642723200,12421,11369,188,30,31,0
SHL,1642723200,5041,4551,163,13,11,0
SLF,1642723200,17101,16089,456,42,16,0
SM,1642723200,22017,20877,538,74,24,0
SOK,1642723200,14750,13851,284,25,31,2
SOM,1642723200,10210,9205,203,20,17,1
SON,1642723200,10324,9663,265,44,28,0
UH,1642723200,14667,13644,369,44,57,0
WAK,1642723200,21796,20173,414,110,63,0
WE,1642723200,7502,6657,131,33,31,0
TH,1642723200,309170,286802,6341,1103,659,7
