Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1682208000,40623,40025,541,0,11,0
AP,1682208000,32740,32547,154,0,6,0
EA,1682208000,0,0,0,0,0,0
EF,1682208000,81312,80590,631,0,11,0
EIC,1682208000,47467,47023,390,0,6,0
G,1682208000,36973,36528,415,0,0,0
GRZ,1682208000,39633,39135,454,0,2,0
GTH,1682208000,53191,52783,384,0,2,0
HBN,1682208000,28405,27910,446,0,5,0
IK,1682208000,48758,48281,464,0,4,0
J,1682208000,47517,47226,189,0,12,0
KYF,1682208000,26987,26691,278,0,6,0
NDH,1682208000,29322,29155,115,0,4,0
SHK,1682208000,38127,37826,262,0,6,0
SHL,1682208000,12943,12721,213,0,0,0
SLF,1682208000,42263,41604,609,0,5,0
SM,1682208000,57261,56444,781,0,0,0
SOK,1682208000,34644,34253,356,0,3,0
SOM,1682208000,27821,27527,272,0,1,0
SON,1682208000,24775,24446,311,0,4,0
UH,1682208000,44033,43559,454,0,6,0
WAK,1682208000,65240,64690,472,0,14,0
WE,1682208000,27660,27441,201,0,1,0
TH,1682208000,887695,878405,8392,0,109,0
