Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1666224000,37674,35281,491,-1,74,0
AP,1666224000,31370,29836,140,56,21,1
EA,1666224000,0,0,0,0,0,0
EF,1666224000,76040,73591,555,251,165,0
EIC,1666224000,44820,43349,363,76,96,0
G,1666224000,34584,33331,379,82,81,0
GRZ,1666224000,37780,36462,400,0,56,0
GTH,1666224000,50536,49188,364,0,111,0
HBN,1666224000,27333,25590,429,56,32,0
IK,1666224000,46076,44192,442,89,38,0
J,1666224000,44534,42079,169,109,71,0
KYF,1666224000,25792,24506,251,60,30,0
NDH,1666224000,27519,26487,106,37,38,0
SHK,1666224000,35747,33564,236,78,71,0
SHL,1666224000,12267,11726,192,19,46,0
SLF,1666224000,40460,39026,575,154,88,0
SM,1666224000,53911,51337,708,94,225,0
SOK,1666224000,33210,31755,345,53,63,1
SOM,1666224000,26270,25485,250,50,78,0
SON,1666224000,23530,22104,296,34,45,1
UH,1666224000,42140,40791,425,101,76,0
WAK,1666224000,61603,58808,455,156,177,0
WE,1666224000,26269,25338,174,54,56,0
TH,1666224000,839465,803826,7745,1608,1738,3
