Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1637020800,9269,7453,319,165,35,0
AP,1637020800,5721,5000,85,83,47,1
EA,1637020800,0,0,0,0,0,0
EF,1637020800,13866,11654,290,287,41,0
EIC,1637020800,8220,7325,256,80,62,2
G,1637020800,7598,6728,226,54,90,0
GRZ,1637020800,10091,8335,246,90,41,0
GTH,1637020800,12670,11330,215,173,119,3
HBN,1637020800,7195,6040,267,129,38,0
IK,1637020800,9177,8292,245,134,107,0
J,1637020800,6183,5062,94,70,39,3
KYF,1637020800,5535,4740,153,74,43,1
NDH,1637020800,3911,3518,71,84,42,0
SHK,1637020800,6564,5369,152,85,21,0
SHL,1637020800,2855,2444,122,52,26,0
SLF,1637020800,8640,7728,320,93,70,0
SM,1637020800,13347,11816,408,114,88,4
SOK,1637020800,8288,6887,198,85,41,3
SOM,1637020800,5406,4566,147,61,13,3
SON,1637020800,6195,4521,178,132,41,2
UH,1637020800,9077,7351,278,76,68,1
WAK,1637020800,13762,11803,336,248,93,2
WE,1637020800,4027,3087,111,89,29,0
TH,1637020800,177597,151049,4717,2458,1194,25
