Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1672963200,40072,39070,519,15,17,0
AP,1672963200,32388,31998,149,3,0,0
EA,1672963200,0,0,0,0,0,0
EF,1672963200,79844,78994,604,11,31,0
EIC,1672963200,46565,45960,379,12,12,0
G,1672963200,36586,35997,407,8,0,0
GRZ,1672963200,39233,38611,440,11,8,0
GTH,1672963200,52508,51899,377,20,13,0
HBN,1672963200,28104,27488,443,2,0,0
IK,1672963200,48155,47525,451,7,36,0
J,1672963200,46688,45933,174,12,0,0
KYF,1672963200,26710,26227,267,2,0,0
NDH,1672963200,28804,28358,110,11,10,0
SHK,1672963200,37410,36769,256,9,36,0
SHL,1672963200,12815,12558,208,0,0,0
SLF,1672963200,41716,41008,589,6,2,0
SM,1672963200,56343,55395,750,23,4,0
SOK,1672963200,34280,33744,347,1,6,0
SOM,1672963200,27506,27130,264,9,2,0
SON,1672963200,24416,23925,302,3,0,0
UH,1672963200,43668,43119,448,8,5,3
WAK,1672963200,63963,63191,467,2,2,0
WE,1672963200,27294,27003,190,13,2,0
TH,1672963200,875068,861902,8141,188,186,3
