Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1631404800,7119,6728,293,2,2,0
AP,1631404800,4229,4071,78,1,1,0
EA,1631404800,1979,1900,78,0,0,0
EF,1631404800,9032,8600,273,0,25,0
EIC,1631404800,6368,6075,250,0,5,0
G,1631404800,5889,5618,205,0,9,0
GRZ,1631404800,7963,7675,240,2,1,0
GTH,1631404800,8873,8591,206,0,10,0
HBN,1631404800,5541,5238,250,0,9,0
IK,1631404800,6675,6379,218,1,2,0
J,1631404800,4511,4301,84,5,1,0
KYF,1631404800,3734,3564,145,0,1,0
NDH,1631404800,3020,2916,70,3,2,0
SHK,1631404800,4843,4649,131,2,1,0
SHL,1631404800,2234,2097,113,0,10,0
SLF,1631404800,6880,6550,289,1,3,0
SM,1631404800,10205,9780,372,0,5,0
SOK,1631404800,6565,6338,185,0,6,0
SOM,1631404800,4249,4051,136,0,1,0
SON,1631404800,4398,4113,164,1,0,0
UH,1631404800,6498,6176,264,3,2,0
WAK,1631404800,8583,8196,250,13,12,0
WE,1631404800,2700,2530,104,0,3,0
TH,1631404800,132088,126136,4398,34,111,0
