Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1621641600,6787,6012,288,12,29,0
AP,1621641600,4073,3858,78,3,18,0
EA,1621641600,1916,1755,70,0,2,0
EF,1621641600,8472,7980,262,14,13,0
EIC,1621641600,6147,5765,232,15,15,0
G,1621641600,5634,5320,195,4,20,0
GRZ,1621641600,7779,6967,209,13,20,0
GTH,1621641600,8432,7864,200,32,30,0
HBN,1621641600,5200,4745,237,4,15,0
IK,1621641600,6383,5967,211,15,27,0
J,1621641600,4311,4110,74,9,6,0
KYF,1621641600,3595,3342,135,10,10,1
NDH,1621641600,2872,2622,69,1,26,0
SHK,1621641600,4693,4433,117,9,12,0
SHL,1621641600,2151,1972,110,5,1,0
SLF,1621641600,6676,6166,276,0,14,0
SM,1621641600,9843,9227,360,9,18,0
SOK,1621641600,6338,5570,161,12,3,5
SOM,1621641600,4086,3834,127,7,16,0
SON,1621641600,4088,3547,158,3,26,1
UH,1621641600,6219,5777,244,14,18,0
WAK,1621641600,8156,7602,232,10,10,0
WE,1621641600,2572,2380,100,8,6,0
TH,1621641600,126423,116815,4145,209,355,7
