Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1611705600,4232,3059,125,27,84,11
AP,1611705600,1898,1585,24,25,32,0
EA,1611705600,875,740,28,7,2,0
EF,1611705600,4262,3621,128,67,17,6
EIC,1611705600,3370,2876,113,49,28,6
G,1611705600,2714,2425,109,16,11,1
GRZ,1611705600,3208,2820,104,19,26,1
GTH,1611705600,3377,2775,117,60,48,0
HBN,1611705600,3204,2732,124,0,35,0
IK,1611705600,2925,2559,100,35,32,0
J,1611705600,2515,2190,34,17,77,3
KYF,1611705600,1740,1454,66,18,21,3
NDH,1611705600,1417,1209,40,31,19,1
SHK,1611705600,2428,2005,61,37,60,0
SHL,1611705600,1075,925,60,8,9,2
SLF,1611705600,3942,3293,154,35,45,3
SM,1611705600,4604,3730,155,77,54,2
SOK,1611705600,2974,2489,60,-18,-4,-2
SOM,1611705600,1798,1565,55,0,20,0
SON,1611705600,2489,2184,117,12,24,0
UH,1611705600,3824,2941,132,39,45,1
WAK,1611705600,3292,2730,102,60,15,2
WE,1611705600,1512,1273,60,11,17,0
TH,1611705600,63675,53180,2068,632,717,40
