Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1655078400,31664,30802,468,56,16,0
AP,1655078400,27219,26782,129,22,31,0
EA,1655078400,0,0,0,0,0,0
EF,1655078400,64948,64098,530,101,6,0
EIC,1655078400,36815,36163,340,71,38,1
G,1655078400,29124,28622,357,40,10,1
GRZ,1655078400,33436,32805,370,31,31,0
GTH,1655078400,43628,43002,339,64,19,0
HBN,1655078400,23745,23156,407,33,11,0
IK,1655078400,38627,37979,426,46,30,0
J,1655078400,36068,35234,145,85,64,0
KYF,1655078400,22398,21897,241,39,13,0
NDH,1655078400,24118,23833,102,21,7,1
SHK,1655078400,30242,29722,222,33,15,0
SHL,1655078400,10523,10249,180,12,6,0
SLF,1655078400,35693,35029,546,30,12,0
SM,1655078400,44438,43513,651,39,30,-1
SOK,1655078400,29693,29196,331,23,14,0
SOM,1655078400,23232,22904,242,49,9,2
SON,1655078400,20308,19839,285,22,11,0
UH,1655078400,35127,34488,414,54,29,0
WAK,1655078400,51520,50739,449,100,39,1
WE,1655078400,22229,21648,157,34,35,0
TH,1655078400,714795,701700,7331,1005,476,5
