Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1593388800,76,71,4,1,0,0
AP,1593388800,74,70,4,0,0,0
EA,1593388800,30,27,2,0,0,0
EF,1593388800,139,137,2,0,0,0
EIC,1593388800,159,149,9,0,0,0
G,1593388800,256,231,21,1,0,0
GRZ,1593388800,667,606,48,1,4,0
GTH,1593388800,312,281,30,0,0,0
HBN,1593388800,72,59,1,0,0,0
IK,1593388800,136,130,6,0,0,0
J,1593388800,161,158,3,0,0,0
KYF,1593388800,52,50,0,0,1,0
NDH,1593388800,66,62,2,0,0,0
SHK,1593388800,73,69,3,0,0,0
SHL,1593388800,20,18,2,0,0,0
SLF,1593388800,72,71,0,0,0,0
SM,1593388800,151,142,4,0,3,0
SOK,1593388800,150,137,12,1,0,0
SOM,1593388800,37,36,1,0,0,0
SON,1593388800,304,268,22,0,1,0
UH,1593388800,91,86,3,0,1,0
WAK,1593388800,87,83,2,0,0,0
WE,1593388800,69,69,0,0,0,0
TH,1593388800,3254,3010,181,4,10,0
