Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1634601600,7611,6910,293,80,9,0
AP,1634601600,4488,4306,80,26,4,0
EA,1634601600,0,0,0,0,0,0
EF,1634601600,10223,9373,276,123,14,0
EIC,1634601600,6839,6399,251,32,21,0
G,1634601600,6318,5934,208,25,21,1
GRZ,1634601600,8512,7790,241,32,14,0
GTH,1634601600,9683,9139,208,77,23,0
HBN,1634601600,5861,5480,256,18,10,2
IK,1634601600,7182,6678,219,57,8,0
J,1634601600,4926,4567,84,29,7,0
KYF,1634601600,4200,3780,146,33,17,0
NDH,1634601600,3187,3055,70,10,5,0
SHK,1634601600,5222,4825,134,26,12,0
SHL,1634601600,2360,2199,113,11,4,0
SLF,1634601600,7393,6944,300,23,13,2
SM,1634601600,10975,10286,380,81,21,0
SOK,1634601600,6936,6430,188,33,6,0
SOM,1634601600,4569,4208,136,18,7,0
SON,1634601600,4559,4280,166,14,5,0
UH,1634601600,7219,6615,267,47,48,1
WAK,1634601600,11335,10591,328,80,29,0
WE,1634601600,3027,2679,105,25,5,0
TH,1634601600,142625,132468,4449,900,303,6
