Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1608249600,2141,1084,32,82,21,2
AP,1608249600,780,626,8,24,5,0
EA,1608249600,315,178,6,20,5,1
EF,1608249600,2251,1708,51,49,43,2
EIC,1608249600,1594,1019,38,119,14,6
G,1608249600,1643,993,60,76,28,2
GRZ,1608249600,1922,1420,61,44,27,0
GTH,1608249600,1396,1015,46,37,18,0
HBN,1608249600,1881,940,31,41,53,2
IK,1608249600,1467,1001,25,41,34,4
J,1608249600,1309,943,16,46,22,0
KYF,1608249600,919,614,21,50,15,0
NDH,1608249600,635,477,10,12,7,0
SHK,1608249600,1052,702,20,35,25,2
SHL,1608249600,475,238,12,19,13,1
SLF,1608249600,1701,946,36,74,22,0
SM,1608249600,1961,1412,43,19,37,0
SOK,1608249600,1481,1023,20,38,37,0
SOM,1608249600,911,692,19,32,17,0
SON,1608249600,1508,1038,52,45,19,0
UH,1608249600,1826,1036,40,62,42,12
WAK,1608249600,1511,780,15,101,19,7
WE,1608249600,664,518,4,0,7,0
TH,1608249600,31343,20403,666,1066,530,41
