Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1664668800,36128,34628,486,0,32,0
AP,1664668800,30240,29438,136,0,17,0
EA,1664668800,0,0,0,0,0,0
EF,1664668800,73117,71588,554,0,143,0
EIC,1664668800,43274,42379,359,0,54,0
G,1664668800,33265,32391,375,0,33,0
GRZ,1664668800,36696,35775,395,0,29,0
GTH,1664668800,48738,47592,354,0,81,0
HBN,1664668800,26146,25349,426,0,12,0
IK,1664668800,43966,42929,440,0,45,0
J,1664668800,42668,41320,163,0,73,0
KYF,1664668800,24932,24141,250,0,50,0
NDH,1664668800,26630,26054,105,0,6,0
SHK,1664668800,34146,33040,232,0,18,0
SHL,1664668800,11687,11327,189,0,7,0
SLF,1664668800,39137,37943,563,0,41,0
SM,1664668800,51069,49361,698,0,70,0
SOK,1664668800,32210,31442,340,0,10,0
SOM,1664668800,25365,24869,248,0,7,0
SON,1664668800,22617,21729,292,0,43,0
UH,1664668800,40600,39498,423,0,41,0
WAK,1664668800,58564,57064,455,0,47,0
WE,1664668800,25138,24682,172,0,37,0
TH,1664668800,806333,784539,7655,0,896,0
