Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1641772800,13996,12449,376,0,78,0
AP,1641772800,10715,9755,106,12,93,1
EA,1641772800,0,0,0,0,0,0
EF,1641772800,24823,23908,390,195,82,13
EIC,1641772800,11376,10774,299,10,30,1
G,1641772800,12344,11594,314,19,54,4
GRZ,1641772800,16205,13514,294,16,115,0
GTH,1641772800,20930,19627,298,7,121,3
HBN,1641772800,12628,10920,348,33,154,0
IK,1641772800,16840,15938,389,8,65,3
J,1641772800,11017,9288,120,34,100,1
KYF,1641772800,9312,8732,196,15,26,0
NDH,1641772800,7456,6965,91,20,48,2
SHK,1641772800,12080,10384,183,4,118,0
SHL,1641772800,4905,4199,158,0,80,0
SLF,1641772800,16755,15641,437,3,86,4
SM,1641772800,21446,20194,526,66,150,3
SOK,1641772800,14487,13035,267,6,174,0
SOM,1641772800,9971,8553,191,29,116,1
SON,1641772800,10139,9122,255,4,83,0
UH,1641772800,14171,12811,344,3,34,0
WAK,1641772800,20930,19266,401,33,193,0
WE,1641772800,7152,6121,130,27,74,0
TH,1641772800,299678,272790,6113,544,2074,36
