Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1651449600,30857,28637,427,68,166,0
AP,1651449600,26578,24998,129,43,213,0
EA,1651449600,0,0,0,0,0,0
EF,1651449600,63286,61859,500,79,73,0
EIC,1651449600,35330,31995,330,112,196,0
G,1651449600,28433,27492,352,66,168,0
GRZ,1651449600,30395,26459,352,380,496,0
GTH,1651449600,42522,41397,331,107,214,0
HBN,1651449600,23155,21365,398,50,87,0
IK,1651449600,37472,36156,422,91,121,0
J,1651449600,34501,31412,141,128,231,0
KYF,1651449600,21887,20322,237,54,133,1
NDH,1651449600,23659,22710,101,34,119,0
SHK,1651449600,29584,27826,218,57,162,1
SHL,1651449600,10158,9709,175,33,100,0
SLF,1651449600,35149,33831,523,35,165,0
SM,1651449600,43060,41120,646,93,178,1
SOK,1651449600,29134,27686,316,35,112,0
SOM,1651449600,22834,22200,229,38,58,1
SON,1651449600,19881,17821,284,43,213,0
UH,1651449600,33899,32223,409,104,304,1
WAK,1651449600,49831,47477,441,146,84,0
WE,1651449600,21324,18884,151,100,295,2
TH,1651449600,692929,653579,7112,1896,3888,7
