Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1659225600,33840,31955,473,0,76,0
AP,1659225600,28832,27650,132,0,58,0
EA,1659225600,0,0,0,0,0,0
EF,1659225600,68901,67237,536,0,105,0
EIC,1659225600,41207,39385,350,0,88,0
G,1659225600,31093,30057,366,0,39,0
GRZ,1659225600,35023,33921,372,0,53,0
GTH,1659225600,45943,44982,342,0,132,0
HBN,1659225600,24936,24101,418,0,44,0
IK,1659225600,40962,40100,431,0,66,0
J,1659225600,39867,37596,146,0,178,0
KYF,1659225600,23602,22525,241,0,37,0
NDH,1659225600,25427,24589,105,0,10,0
SHK,1659225600,32212,30755,225,0,46,0
SHL,1659225600,11111,10699,183,0,31,0
SLF,1659225600,37200,36053,549,0,92,0
SM,1659225600,47756,45928,680,0,53,0
SOK,1659225600,30875,29971,333,0,38,0
SOM,1659225600,24255,23702,242,0,37,0
SON,1659225600,21343,20413,287,0,28,0
UH,1659225600,37789,36645,417,0,209,0
WAK,1659225600,55183,53293,450,0,203,0
WE,1659225600,23770,22770,164,0,64,0
TH,1659225600,761127,734327,7442,0,1687,0
