Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1639094400,12290,8910,347,74,76,2
AP,1639094400,8614,6625,95,118,92,0
EA,1639094400,0,0,0,0,0,0
EF,1639094400,19589,17586,314,313,143,0
EIC,1639094400,10216,8954,272,102,79,0
G,1639094400,10430,8555,268,135,101,2
GRZ,1639094400,13153,9589,269,93,73,0
GTH,1639094400,18092,14842,251,194,80,1
HBN,1639094400,10635,7634,311,151,71,0
IK,1639094400,13169,11799,316,230,168,4
J,1639094400,8858,6264,106,148,73,0
KYF,1639094400,7958,6669,161,83,76,2
NDH,1639094400,5847,4806,76,122,81,0
SHK,1639094400,9985,6416,165,79,68,3
SHL,1639094400,4087,2956,137,45,11,1
SLF,1639094400,13630,10438,373,209,143,0
SM,1639094400,18376,15106,466,192,179,5
SOK,1639094400,12411,8218,236,109,109,3
SOM,1639094400,8016,5412,160,127,43,0
SON,1639094400,8696,6160,217,63,77,3
UH,1639094400,11739,8973,325,115,4,8
WAK,1639094400,17807,15005,359,239,98,2
WE,1639094400,5706,3959,120,95,48,0
TH,1639094400,249304,194876,5344,3036,1893,36
