Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1668124800,38717,36899,494,24,28,0
AP,1668124800,31843,30957,144,13,0,1
EA,1668124800,0,0,0,0,0,0
EF,1668124800,77695,76261,561,33,108,0
EIC,1668124800,45578,44750,367,13,14,0
G,1668124800,35426,34612,384,25,15,0
GRZ,1668124800,38420,37467,419,21,45,0
GTH,1668124800,51485,50801,372,15,11,0
HBN,1668124800,27717,26624,435,11,0,0
IK,1668124800,47054,46176,445,39,49,0
J,1668124800,45341,43903,173,0,15,0
KYF,1668124800,26233,25299,256,9,0,0
NDH,1668124800,27983,27386,107,15,10,0
SHK,1668124800,36412,35187,241,14,74,0
SHL,1668124800,12517,12191,197,7,1,1
SLF,1668124800,41054,40169,581,12,1,1
SM,1668124800,55006,53744,729,32,31,0
SOK,1668124800,33691,32745,344,15,39,0
SOM,1668124800,26914,26421,255,15,3,0
SON,1668124800,23943,22982,299,17,0,0
UH,1668124800,42908,42196,425,14,20,0
WAK,1668124800,62863,61600,459,16,4,0
WE,1668124800,26822,26334,180,10,3,0
TH,1668124800,855622,834704,7867,370,471,3
