Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1638748800,11803,8537,341,4,97,0
AP,1638748800,7979,6189,94,31,102,0
EA,1638748800,0,0,0,0,0,0
EF,1638748800,18175,16230,314,320,355,0
EIC,1638748800,9736,8629,269,18,74,0
G,1638748800,9824,7986,260,176,82,5
GRZ,1638748800,12716,9283,266,111,63,8
GTH,1638748800,16769,14125,239,510,114,0
HBN,1638748800,9883,7208,303,251,97,1
IK,1638748800,12288,11106,293,281,172,7
J,1638748800,8253,5989,102,37,57,2
KYF,1638748800,7491,6361,159,76,75,1
NDH,1638748800,5369,4476,75,30,72,0
SHK,1638748800,9281,6141,161,47,55,2
SHL,1638748800,3819,2877,134,13,55,1
SLF,1638748800,12553,9723,365,480,169,8
SM,1638748800,17263,14257,452,252,258,3
SOK,1638748800,11614,7838,227,54,96,4
SOM,1638748800,7398,5221,158,57,39,1
SON,1638748800,8243,5736,209,108,99,4
UH,1638748800,11143,8731,316,112,93,0
WAK,1638748800,16920,14371,349,99,181,1
WE,1638748800,5303,3765,118,72,50,2
TH,1638748800,233823,184779,5204,3139,2455,50
