Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1627862400,6928,6614,293,0,1,0
AP,1627862400,4120,4042,77,0,1,0
EA,1627862400,1961,1883,78,0,1,0
EF,1627862400,8656,8363,273,6,1,0
EIC,1627862400,6264,5999,250,0,0,0
G,1627862400,5728,5508,204,2,1,1
GRZ,1627862400,7885,7609,238,0,0,0
GTH,1627862400,8706,8486,205,0,6,0
HBN,1627862400,5421,5165,249,2,0,0
IK,1627862400,6523,6301,218,3,0,0
J,1627862400,4343,4256,84,0,2,0
KYF,1627862400,3685,3539,145,0,0,0
NDH,1627862400,2943,2872,70,0,0,0
SHK,1627862400,4765,4619,127,0,2,0
SHL,1627862400,2184,2069,113,0,0,0
SLF,1627862400,6788,6496,288,0,0,0
SM,1627862400,10057,9662,371,7,3,0
SOK,1627862400,6505,6319,183,1,0,0
SOM,1627862400,4169,4030,136,0,1,0
SON,1627862400,4258,4088,163,1,0,0
UH,1627862400,6429,6163,264,0,0,0
WAK,1627862400,8320,8060,250,3,0,0
WE,1627862400,2624,2517,103,0,0,0
TH,1627862400,129262,124660,4382,25,19,1
