Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1645574400,17885,14367,390,473,56,0
AP,1645574400,15086,12501,120,332,84,1
EA,1645574400,0,0,0,0,0,0
EF,1645574400,32826,30360,445,216,97,10
EIC,1645574400,17373,12959,303,370,127,0
G,1645574400,16529,14224,327,217,158,0
GRZ,1645574400,18936,16380,331,84,20,15
GTH,1645574400,25647,22853,315,246,272,0
HBN,1645574400,15779,13277,382,203,74,0
IK,1645574400,21533,19400,402,248,163,0
J,1645574400,16390,12690,129,238,95,0
KYF,1645574400,12176,10722,216,99,80,0
NDH,1645574400,11243,9087,95,291,52,0
SHK,1645574400,17012,12690,196,333,48,0
SHL,1645574400,6473,5432,167,72,63,0
SLF,1645574400,21096,18068,476,446,104,0
SM,1645574400,27358,24123,595,297,292,1
SOK,1645574400,18123,14869,291,176,40,0
SOM,1645574400,13192,11280,210,208,200,0
SON,1645574400,12380,10353,268,123,49,0
UH,1645574400,18547,16435,382,193,203,1
WAK,1645574400,28648,24464,419,416,298,0
WE,1645574400,10263,7737,133,169,74,0
TH,1645574400,394495,334271,6592,5450,2649,28
