Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1636588800,8814,7297,313,92,23,3
AP,1636588800,5406,4802,83,73,44,0
EA,1636588800,0,0,0,0,0,0
EF,1636588800,13115,10872,290,274,40,0
EIC,1636588800,7971,7096,253,59,41,0
G,1636588800,7360,6493,222,63,39,0
GRZ,1636588800,9657,8213,245,99,15,0
GTH,1636588800,12129,10800,211,269,126,0
HBN,1636588800,6833,5871,264,91,26,0
IK,1636588800,8825,7799,240,108,82,2
J,1636588800,5921,4924,86,120,24,0
KYF,1636588800,5237,4521,152,100,33,2
NDH,1636588800,3731,3357,71,33,27,0
SHK,1636588800,6243,5224,150,69,20,0
SHL,1636588800,2719,2367,119,30,11,1
SLF,1636588800,8347,7442,316,146,52,1
SM,1636588800,12920,11375,403,200,78,0
SOK,1636588800,7862,6748,194,0,29,0
SOM,1636588800,5217,4488,144,56,22,1
SON,1636588800,5749,4399,173,120,14,2
UH,1636588800,8686,7099,277,122,35,0
WAK,1636588800,13202,11465,334,131,53,0
WE,1636588800,3840,2973,111,44,36,0
TH,1636588800,169784,145625,4651,2299,870,12
