Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1613433600,4627,3900,189,27,36,4
AP,1613433600,2204,1940,39,27,34,0
EA,1613433600,955,863,44,6,5,0
EF,1613433600,4831,4460,159,26,6,0
EIC,1613433600,3926,3538,138,42,36,3
G,1613433600,2931,2688,117,17,12,0
GRZ,1613433600,3414,3205,116,4,22,0
GTH,1613433600,4107,3664,137,19,46,1
HBN,1613433600,3594,3198,164,17,19,3
IK,1613433600,3262,2976,118,18,22,0
J,1613433600,2787,2612,55,22,11,11
KYF,1613433600,1937,1754,86,22,13,0
NDH,1613433600,1564,1467,42,0,17,0
SHK,1613433600,2687,2454,75,32,13,1
SHL,1613433600,1241,1087,81,14,15,4
SLF,1613433600,4252,3854,199,18,14,2
SM,1613433600,5527,4864,197,46,40,3
SOK,1613433600,3378,3055,82,32,15,2
SOM,1613433600,2043,1862,79,14,11,0
SON,1613433600,2649,2460,133,10,9,0
UH,1613433600,4328,3851,183,30,18,6
WAK,1613433600,3731,3347,131,31,27,1
WE,1613433600,1685,1511,91,7,6,0
TH,1613433600,71660,64610,2655,481,447,41
