Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1678320000,40436,39756,534,1,4,0
AP,1678320000,32627,32375,151,5,4,0
EA,1678320000,0,0,0,0,0,0
EF,1678320000,80905,79954,624,30,7,0
EIC,1678320000,47220,46659,386,8,11,0
G,1678320000,36847,36381,411,9,3,0
GRZ,1678320000,39452,38933,446,0,0,0
GTH,1678320000,53038,52531,382,0,8,0
HBN,1678320000,28284,27754,443,9,2,0
IK,1678320000,48588,48021,460,6,11,0
J,1678320000,47221,46851,185,0,9,0
KYF,1678320000,26922,26577,276,3,1,0
NDH,1678320000,29170,28956,113,8,4,0
SHK,1678320000,37890,37357,260,12,5,0
SHL,1678320000,12894,12648,210,10,1,0
SLF,1678320000,42090,41362,601,6,6,0
SM,1678320000,57056,56151,766,7,23,0
SOK,1678320000,34512,34034,355,7,1,0
SOM,1678320000,27738,27425,269,6,2,0
SON,1678320000,24679,24260,308,8,3,1
UH,1678320000,43951,43430,451,4,4,0
WAK,1678320000,64865,64031,470,20,17,0
WE,1678320000,27529,27258,197,7,16,0
TH,1678320000,883914,872704,8298,166,142,1
