Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1598400000,82,75,4,2,0,0
AP,1598400000,85,78,4,1,2,0
EA,1598400000,37,32,4,1,0,0
EF,1598400000,169,156,2,0,1,0
EIC,1598400000,167,153,10,4,0,0
G,1598400000,271,249,22,0,0,0
GRZ,1598400000,685,630,48,0,1,0
GTH,1598400000,332,295,30,0,0,0
HBN,1598400000,90,86,1,0,0,0
IK,1598400000,158,148,6,0,1,0
J,1598400000,171,161,3,0,0,0
KYF,1598400000,62,56,0,0,0,0
NDH,1598400000,74,68,2,0,0,0
SHK,1598400000,77,72,3,0,1,0
SHL,1598400000,29,24,2,0,2,0
SLF,1598400000,78,72,0,0,0,0
SM,1598400000,195,177,5,1,1,0
SOK,1598400000,159,147,12,0,0,0
SOM,1598400000,52,46,1,3,1,0
SON,1598400000,312,288,22,0,0,0
UH,1598400000,93,90,3,0,0,0
WAK,1598400000,107,99,2,2,0,0
WE,1598400000,100,94,0,0,0,0
TH,1598400000,3585,3296,186,14,10,0
