Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1683936000,40664,40083,543,0,0,0
AP,1683936000,32763,32575,154,0,0,0
EA,1683936000,0,0,0,0,0,0
EF,1683936000,81392,80700,635,0,4,0
EIC,1683936000,47501,47086,390,0,1,0
G,1683936000,36987,36559,417,0,0,0
GRZ,1683936000,39672,39186,456,0,2,0
GTH,1683936000,53213,52812,387,0,4,0
HBN,1683936000,28417,27956,447,0,0,0
IK,1683936000,48796,48317,465,0,1,0
J,1683936000,47566,47304,193,0,0,0
KYF,1683936000,26994,26707,278,0,0,0
NDH,1683936000,29355,29208,115,0,1,0
SHK,1683936000,38165,37878,262,0,2,0
SHL,1683936000,12958,12732,214,0,0,0
SLF,1683936000,42292,41649,610,0,1,0
SM,1683936000,57306,56493,784,0,0,0
SOK,1683936000,34674,34290,356,0,0,0
SOM,1683936000,27846,27554,272,0,0,0
SON,1683936000,24793,24465,312,0,0,0
UH,1683936000,44058,43580,454,0,1,0
WAK,1683936000,65286,64768,472,0,1,0
WE,1683936000,27676,27464,206,0,0,0
TH,1683936000,888374,879366,8422,0,18,0
