Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1625356800,6885,6583,292,0,5,0
AP,1625356800,4113,4032,78,0,0,0
EA,1625356800,1959,1879,75,0,1,0
EF,1625356800,8622,8345,273,0,0,0
EIC,1625356800,6245,5966,249,0,0,0
G,1625356800,5705,5496,202,0,4,0
GRZ,1625356800,7846,7613,228,0,0,0
GTH,1625356800,8666,8452,204,0,4,0
HBN,1625356800,5381,5120,246,0,1,0
IK,1625356800,6508,6290,218,0,0,0
J,1625356800,4331,4245,83,1,0,0
KYF,1625356800,3683,3535,144,0,0,0
NDH,1625356800,2936,2866,70,0,0,0
SHK,1625356800,4737,4610,126,0,1,0
SHL,1625356800,2176,2063,113,0,0,0
SLF,1625356800,6782,6487,288,0,1,0
SM,1625356800,10002,9628,368,0,1,0
SOK,1625356800,6460,6265,180,0,1,0
SOM,1625356800,4165,4032,132,0,0,0
SON,1625356800,4255,4088,163,0,1,0
UH,1625356800,6426,6157,259,0,1,0
WAK,1625356800,8305,8047,246,0,5,0
WE,1625356800,2616,2511,103,0,0,0
TH,1625356800,128804,124310,4340,1,26,0
