Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1675468800,40240,39559,530,0,1,0
AP,1675468800,32493,32249,150,0,0,0
EA,1675468800,0,0,0,0,0,0
EF,1675468800,80232,79461,614,0,2,0
EIC,1675468800,46842,46329,384,0,3,0
G,1675468800,36703,36254,409,0,1,0
GRZ,1675468800,39331,38830,445,0,1,0
GTH,1675468800,52744,52284,378,0,17,0
HBN,1675468800,28151,27665,443,0,0,0
IK,1675468800,48321,47816,455,0,7,0
J,1675468800,46969,46521,181,0,0,0
KYF,1675468800,26837,26441,274,0,0,0
NDH,1675468800,28976,28750,111,0,1,0
SHK,1675468800,37567,37173,256,0,3,0
SHL,1675468800,12833,12614,209,0,0,0
SLF,1675468800,41870,41205,593,0,1,0
SM,1675468800,56602,55735,760,0,6,0
SOK,1675468800,34361,33952,350,0,2,0
SOM,1675468800,27612,27295,269,0,0,0
SON,1675468800,24481,24112,305,0,0,0
UH,1675468800,43832,43339,448,0,1,0
WAK,1675468800,64306,63679,468,0,3,0
WE,1675468800,27369,27136,193,0,0,0
TH,1675468800,878672,868399,8225,0,49,0
