Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1608854400,2717,1157,42,150,1,0
AP,1608854400,947,734,8,15,14,0
EA,1608854400,455,244,7,20,19,0
EF,1608854400,2679,2061,57,75,49,0
EIC,1608854400,2046,1285,53,58,59,1
G,1608854400,1981,1207,72,27,57,2
GRZ,1608854400,2230,1703,65,35,24,1
GTH,1608854400,1765,1230,58,33,32,0
HBN,1608854400,2111,1409,54,0,89,0
IK,1608854400,1805,1247,35,46,44,1
J,1608854400,1614,1095,16,25,24,0
KYF,1608854400,1056,777,22,14,11,0
NDH,1608854400,752,558,14,1,12,0
SHK,1608854400,1367,873,22,41,33,0
SHL,1608854400,635,379,14,8,14,0
SLF,1608854400,2063,1236,49,35,26,3
SM,1608854400,2360,1784,52,47,58,1
SOK,1608854400,1856,1325,21,68,41,0
SOM,1608854400,1061,790,21,7,10,0
SON,1608854400,1690,1270,61,23,33,0
UH,1608854400,2182,1411,43,0,51,0
WAK,1608854400,1895,1095,19,34,56,1
WE,1608854400,874,632,14,55,38,4
TH,1608854400,38141,25502,819,817,795,14
