Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1619222400,6272,5197,251,22,8,0
AP,1619222400,3557,3164,60,0,23,0
EA,1619222400,1657,1429,61,10,7,0
EF,1619222400,7580,6791,239,64,42,0
EIC,1619222400,5675,5171,219,35,36,0
G,1619222400,5066,4435,173,28,13,1
GRZ,1619222400,7122,5467,177,33,80,1
GTH,1619222400,7218,6437,186,71,57,0
HBN,1619222400,4574,4178,223,18,5,0
IK,1619222400,5573,4889,192,37,55,0
J,1619222400,3728,3440,67,0,8,0
KYF,1619222400,3195,2837,125,16,11,0
NDH,1619222400,2289,2029,56,32,17,0
SHK,1619222400,4142,3729,93,36,19,1
SHL,1619222400,1937,1688,100,18,12,0
SLF,1619222400,5928,5235,255,36,20,1
SM,1619222400,9045,8173,325,43,38,0
SOK,1619222400,5653,5107,142,7,33,0
SOM,1619222400,3568,3108,113,36,24,1
SON,1619222400,3551,2858,151,49,0,0
UH,1619222400,5658,5218,228,11,16,0
WAK,1619222400,7240,6153,208,45,21,0
WE,1619222400,2315,2043,97,20,8,0
TH,1619222400,112543,98776,3741,667,553,5
