Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1613606400,4665,3977,191,26,23,0
AP,1613606400,2263,1992,39,28,26,0
EA,1613606400,962,870,44,3,5,0
EF,1613606400,4931,4471,161,38,8,0
EIC,1613606400,3952,3588,139,0,27,0
G,1613606400,2962,2704,117,11,9,0
GRZ,1613606400,3450,3216,119,18,2,3
GTH,1613606400,4174,3735,138,38,35,1
HBN,1613606400,3631,3249,164,17,24,0
IK,1613606400,3262,3009,118,0,18,0
J,1613606400,2811,2642,56,18,12,0
KYF,1613606400,2014,1773,88,32,9,1
NDH,1613606400,1583,1483,42,10,4,0
SHK,1613606400,2742,2477,75,32,12,0
SHL,1613606400,1257,1102,82,9,7,1
SLF,1613606400,4289,3875,204,19,11,1
SM,1613606400,5663,4957,203,67,44,2
SOK,1613606400,3418,3090,82,20,20,0
SOM,1613606400,2072,1880,83,23,8,4
SON,1613606400,2664,2469,138,11,-2,5
UH,1613606400,4404,3910,185,30,31,0
WAK,1613606400,3780,3378,142,21,18,1
WE,1613606400,1699,1527,92,7,6,1
TH,1613606400,72648,65374,2702,478,357,20
