Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1668729600,38892,37440,500,35,28,0
AP,1668729600,31924,31290,145,6,0,0
EA,1668729600,0,0,0,0,0,0
EF,1668729600,78013,76903,564,40,63,0
EIC,1668729600,45672,45014,368,15,9,0
G,1668729600,35544,34840,386,17,5,0
GRZ,1668729600,38534,37738,419,35,29,0
GTH,1668729600,51616,51026,372,34,5,0
HBN,1668729600,27788,26963,436,28,-1,1
IK,1668729600,47221,46403,446,48,23,0
J,1668729600,45538,44465,173,48,6,0
KYF,1668729600,26301,25567,257,15,0,1
NDH,1668729600,28091,27594,108,34,23,1
SHK,1668729600,36533,35634,241,43,52,0
SHL,1668729600,12559,12265,197,1,0,0
SLF,1668729600,41182,40339,581,14,1,0
SM,1668729600,55189,54085,731,35,11,0
SOK,1668729600,33770,32953,344,11,6,0
SOM,1668729600,27023,26576,256,16,3,0
SON,1668729600,24027,23288,300,8,0,0
UH,1668729600,43002,42387,425,24,9,0
WAK,1668729600,62999,61946,463,22,4,0
WE,1668729600,26877,26499,182,6,4,0
TH,1668729600,858295,841215,7894,535,280,3
