Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1641686400,13996,12371,376,7,101,0
AP,1641686400,10703,9662,105,27,78,0
EA,1641686400,0,0,0,0,0,0
EF,1641686400,24628,23826,377,0,96,0
EIC,1641686400,11366,10744,298,0,39,0
G,1641686400,12325,11540,310,0,34,0
GRZ,1641686400,16189,13399,294,311,191,0
GTH,1641686400,20923,19506,295,19,208,0
HBN,1641686400,12595,10766,348,0,132,0
IK,1641686400,16832,15873,386,31,64,0
J,1641686400,10983,9188,119,7,83,0
KYF,1641686400,9297,8706,196,22,38,0
NDH,1641686400,7436,6917,89,0,68,0
SHK,1641686400,12076,10266,183,10,49,0
SHL,1641686400,4905,4119,158,2,10,0
SLF,1641686400,16752,15555,433,6,79,0
SM,1641686400,21380,20044,523,0,123,0
SOK,1641686400,14481,12861,267,3,82,0
SOM,1641686400,9942,8437,190,0,112,0
SON,1641686400,10135,9039,255,9,72,0
UH,1641686400,14168,12777,344,10,77,0
WAK,1641686400,20897,19073,401,15,41,2
WE,1641686400,7125,6047,130,0,85,0
TH,1641686400,299134,270716,6077,479,1862,2
