Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1657929600,32946,31390,470,0,34,0
AP,1657929600,28277,27182,131,0,0,0
EA,1657929600,0,0,0,0,0,0
EF,1657929600,67439,65967,536,0,115,0
EIC,1657929600,39919,37948,347,0,76,0
G,1657929600,30338,29384,359,0,15,0
GRZ,1657929600,34357,33315,372,0,17,0
GTH,1657929600,45080,44155,340,0,11,0
HBN,1657929600,24495,23673,418,0,20,0
IK,1657929600,40256,39222,431,0,42,0
J,1657929600,38730,36305,145,0,12,0
KYF,1657929600,23073,22217,241,0,0,0
NDH,1657929600,24944,24256,102,0,8,0
SHK,1657929600,31456,30199,222,0,7,0
SHL,1657929600,10847,10516,180,0,0,0
SLF,1657929600,36524,35552,548,0,10,0
SM,1657929600,46452,44737,670,0,14,0
SOK,1657929600,30332,29617,332,0,9,0
SOM,1657929600,23869,23337,244,0,6,0
SON,1657929600,20922,20131,286,0,10,0
UH,1657929600,36821,35518,415,0,5,0
WAK,1657929600,53686,52024,449,0,2,0
WE,1657929600,23313,22248,161,0,3,0
TH,1657929600,744076,718893,7399,0,416,0
