Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1621382400,6773,5940,287,-3,55,1
AP,1621382400,4044,3819,77,8,16,1
EA,1621382400,1904,1745,70,6,17,0
EF,1621382400,8423,7906,261,33,6,3
EIC,1621382400,6112,5718,232,20,10,0
G,1621382400,5621,5262,193,6,24,2
GRZ,1621382400,7728,6868,209,15,55,4
GTH,1621382400,8318,7734,199,73,55,0
HBN,1621382400,5161,4675,237,35,19,0
IK,1621382400,6333,5871,211,32,24,0
J,1621382400,4291,4086,72,5,11,0
KYF,1621382400,3577,3307,133,23,15,0
NDH,1621382400,2787,2499,69,29,23,2
SHK,1621382400,4672,4377,117,15,28,0
SHL,1621382400,2137,1960,110,6,6,0
SLF,1621382400,6640,6097,274,32,26,0
SM,1621382400,9806,9165,356,25,23,2
SOK,1621382400,6426,5597,162,14,33,0
SOM,1621382400,4062,3788,124,25,8,0
SON,1621382400,4036,3405,156,21,30,0
UH,1621382400,6170,5717,241,29,31,0
WAK,1621382400,8111,7544,230,22,35,0
WE,1621382400,2549,2366,100,8,15,0
TH,1621382400,125681,115446,4120,479,565,15
