Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1642291200,14127,12762,382,7,49,0
AP,1642291200,10892,10172,118,0,63,0
EA,1642291200,0,0,0,0,0,0
EF,1642291200,25190,24287,400,0,62,0
EIC,1642291200,11606,10931,300,0,37,0
G,1642291200,12489,11849,318,0,65,0
GRZ,1642291200,16290,14155,294,0,93,0
GTH,1642291200,21105,20097,302,0,149,0
HBN,1642291200,12728,11413,358,0,61,0
IK,1642291200,17043,16139,392,0,4,0
J,1642291200,11368,9865,121,82,43,0
KYF,1642291200,9447,8916,206,20,26,3
NDH,1642291200,7609,7231,92,1,56,0
SHK,1642291200,12234,10984,187,41,51,0
SHL,1642291200,4985,4379,161,2,23,0
SLF,1642291200,16914,15907,455,6,38,0
SM,1642291200,21647,20595,532,1,140,0
SOK,1642291200,14577,13591,280,1,55,0
SOM,1642291200,10068,8932,197,0,76,0
SON,1642291200,10208,9452,259,12,54,0
UH,1642291200,14412,13312,358,21,64,0
WAK,1642291200,21298,19682,412,34,55,0
WE,1642291200,7285,6450,131,0,75,0
TH,1642291200,303522,281101,6255,228,1339,3
