Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1625616000,6891,6587,292,4,0,0
AP,1625616000,4112,4032,78,0,0,0
EA,1625616000,1961,1883,75,0,1,0
EF,1625616000,8623,8346,273,0,0,0
EIC,1625616000,6250,5970,250,1,1,0
G,1625616000,5705,5499,202,0,0,0
GRZ,1625616000,7846,7614,228,0,0,0
GTH,1625616000,8671,8457,204,1,2,0
HBN,1625616000,5385,5122,247,0,2,0
IK,1625616000,6509,6291,218,1,1,0
J,1625616000,4332,4245,83,0,0,0
KYF,1625616000,3683,3538,144,0,0,0
NDH,1625616000,2936,2866,70,0,0,0
SHK,1625616000,4737,4611,126,0,0,0
SHL,1625616000,2176,2063,113,0,0,0
SLF,1625616000,6782,6490,288,0,1,0
SM,1625616000,10003,9631,370,0,-1,1
SOK,1625616000,6460,6270,181,0,1,0
SOM,1625616000,4165,4032,132,0,0,0
SON,1625616000,4250,4084,163,2,2,0
UH,1625616000,6426,6162,259,0,2,0
WAK,1625616000,8305,8052,246,0,2,0
WE,1625616000,2619,2511,103,0,0,0
TH,1625616000,128827,124356,4345,9,14,1
