Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1673481600,40116,39250,522,15,14,3
AP,1673481600,32423,32078,149,6,15,0
EA,1673481600,0,0,0,0,0,0
EF,1673481600,79967,79078,609,20,32,1
EIC,1673481600,46650,46057,381,15,19,0
G,1673481600,36627,36116,408,7,12,0
GRZ,1673481600,39264,38677,441,0,14,0
GTH,1673481600,52552,52000,378,0,15,0
HBN,1673481600,28113,27541,443,1,10,0
IK,1673481600,48225,47611,452,7,29,0
J,1673481600,46744,46076,174,0,18,0
KYF,1673481600,26766,26289,270,18,15,0
NDH,1673481600,28849,28448,110,45,20,0
SHK,1673481600,37463,36873,256,10,21,0
SHL,1673481600,12823,12578,208,3,4,0
SLF,1673481600,41773,41050,589,17,6,0
SM,1673481600,56414,55492,751,8,11,1
SOK,1673481600,34308,33812,347,6,5,0
SOM,1673481600,27547,27169,264,16,11,0
SON,1673481600,24434,23991,304,2,6,1
UH,1673481600,43745,43175,448,9,9,0
WAK,1673481600,64102,63309,467,8,19,0
WE,1673481600,27307,27029,191,0,1,1
TH,1673481600,876212,863699,8162,213,306,7
