Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1623369600,6863,6516,291,7,3,0
AP,1623369600,4126,4018,78,0,4,0
EA,1623369600,1943,1849,75,5,1,0
EF,1623369600,8607,8270,270,2,2,5
EIC,1623369600,6214,5952,236,0,2,0
G,1623369600,5687,5461,199,1,2,0
GRZ,1623369600,7841,7469,225,0,17,5
GTH,1623369600,8629,8342,204,6,15,0
HBN,1623369600,5356,5052,240,3,15,0
IK,1623369600,6502,6258,218,1,8,0
J,1623369600,4334,4222,81,5,0,2
KYF,1623369600,3663,3483,142,0,1,0
NDH,1623369600,2933,2852,70,2,2,0
SHK,1623369600,4717,4580,122,1,2,0
SHL,1623369600,2173,2048,113,2,0,0
SLF,1623369600,6770,6445,286,0,4,0
SM,1623369600,9997,9568,368,5,10,0
SOK,1623369600,6434,6221,174,0,6,0
SOM,1623369600,4160,4006,130,2,6,0
SON,1623369600,4234,4009,162,0,4,0
UH,1623369600,6372,6025,257,6,4,0
WAK,1623369600,8270,7975,240,0,3,0
WE,1623369600,2612,2494,102,1,0,0
TH,1623369600,128437,123115,4283,49,111,12
