Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1607558400,1549,805,17,72,28,1
AP,1607558400,654,547,8,24,8,0
EA,1607558400,200,141,5,9,6,0
EF,1607558400,1887,1407,39,53,24,8
EIC,1607558400,1148,860,25,22,26,0
G,1607558400,1166,815,38,49,29,1
GRZ,1607558400,1619,1178,55,62,24,2
GTH,1607558400,1109,849,43,61,18,1
HBN,1607558400,1580,831,25,66,19,0
IK,1607558400,1108,848,15,36,13,1
J,1607558400,994,789,15,53,26,0
KYF,1607558400,709,460,14,34,14,1
NDH,1607558400,527,357,10,11,10,0
SHK,1607558400,793,592,17,0,18,0
SHL,1607558400,305,163,7,5,6,0
SLF,1607558400,1215,691,24,84,27,0
SM,1607558400,1514,1140,31,107,30,0
SOK,1607558400,1107,656,14,68,31,0
SOM,1607558400,745,574,16,16,24,3
SON,1607558400,1138,805,44,0,38,0
UH,1607558400,1293,841,27,59,34,0
WAK,1607558400,922,538,6,57,26,0
WE,1607558400,536,460,2,13,11,0
TH,1607558400,23818,16347,497,961,490,18
