Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1648684800,28354,19747,408,283,171,0
AP,1648684800,24222,17693,124,344,199,0
EA,1648684800,0,0,0,0,0,0
EF,1648684800,44185,42329,460,1517,1162,-2
EIC,1648684800,30525,20108,318,402,415,2
G,1648684800,26240,22291,340,286,502,0
GRZ,1648684800,24829,19421,335,143,70,0
GTH,1648684800,37380,33385,319,497,539,0
HBN,1648684800,21313,16773,388,203,58,0
IK,1648684800,31537,28282,417,622,316,0
J,1648684800,29737,19489,131,0,175,0
KYF,1648684800,19961,14493,234,238,119,1
NDH,1648684800,22225,13458,99,180,272,1
SHK,1648684800,27330,19013,213,438,272,0
SHL,1648684800,9183,7652,170,89,131,0
SLF,1648684800,32680,27430,495,355,322,1
SM,1648684800,39018,34289,630,331,480,0
SOK,1648684800,26459,19597,303,336,98,0
SOM,1648684800,21258,18098,213,281,411,0
SON,1648684800,17187,13185,277,243,59,0
UH,1648684800,29525,24292,397,345,350,0
WAK,1648684800,44281,35244,424,470,640,0
WE,1648684800,17848,11665,147,294,196,5
TH,1648684800,605277,477934,6842,7897,6957,8
