Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1612742400,4506,3570,158,3,61,0
AP,1612742400,2063,1808,37,4,11,0
EA,1612742400,908,839,29,0,5,0
EF,1612742400,4666,4188,146,0,44,0
EIC,1612742400,3765,3266,130,25,53,3
G,1612742400,2837,2580,114,4,19,0
GRZ,1612742400,3354,3095,107,1,20,0
GTH,1612742400,3901,3322,128,73,32,0
HBN,1612742400,3492,3057,146,25,35,3
IK,1612742400,3152,2837,115,5,30,1
J,1612742400,2714,2485,42,5,22,0
KYF,1612742400,1862,1682,72,0,22,0
NDH,1612742400,1534,1373,40,11,10,0
SHK,1612742400,2565,2347,70,0,15,0
SHL,1612742400,1188,1011,76,1,6,2
SLF,1612742400,4125,3740,165,23,12,4
SM,1612742400,5153,4446,180,15,80,4
SOK,1612742400,3206,2904,66,6,32,2
SOM,1612742400,1973,1759,72,0,17,0
SON,1612742400,2616,2353,126,1,8,2
UH,1612742400,4142,3512,172,11,61,0
WAK,1612742400,3506,3131,114,0,42,0
WE,1612742400,1627,1426,88,3,8,6
TH,1612742400,68855,60731,2393,216,645,27
