Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1590537600,66,56,3,1,1,0
AP,1590537600,73,69,4,0,0,0
EA,1590537600,28,24,2,0,0,0
EF,1590537600,137,133,2,1,0,0
EIC,1590537600,151,131,8,0,0,0
G,1590537600,227,177,14,1,0,0
GRZ,1590537600,619,514,45,9,10,0
GTH,1590537600,291,241,30,6,1,1
HBN,1590537600,42,28,1,0,1,0
IK,1590537600,132,125,4,3,0,0
J,1590537600,159,155,3,0,0,0
KYF,1590537600,45,45,0,0,0,0
NDH,1590537600,61,59,2,0,1,0
SHK,1590537600,70,63,3,0,0,0
SHL,1590537600,18,12,2,0,1,0
SLF,1590537600,69,66,0,0,0,0
SM,1590537600,126,106,3,0,2,0
SOK,1590537600,146,126,12,0,0,0
SOM,1590537600,37,36,1,0,0,0
SON,1590537600,217,158,14,8,6,0
UH,1590537600,78,74,3,0,0,0
WAK,1590537600,72,51,2,5,2,0
WE,1590537600,68,65,0,0,0,0
TH,1590537600,2932,2514,158,34,25,1
