Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1637884800,10671,7906,330,202,79,1
AP,1637884800,6758,5458,90,125,58,0
EA,1637884800,0,0,0,0,0,0
EF,1637884800,16155,13552,304,351,263,0
EIC,1637884800,9029,7917,261,86,56,0
G,1637884800,8750,7207,244,172,3,2
GRZ,1637884800,11496,8705,254,158,53,1
GTH,1637884800,14401,12488,225,213,124,0
HBN,1637884800,8413,6570,285,103,52,0
IK,1637884800,10651,9430,268,131,126,1
J,1637884800,7188,5445,97,126,39,0
KYF,1637884800,6501,5386,156,104,67,0
NDH,1637884800,4621,3850,73,98,42,0
SHK,1637884800,7857,5697,155,196,47,0
SHL,1637884800,3347,2667,127,63,25,0
SLF,1637884800,9814,8333,333,0,58,0
SM,1637884800,15085,12872,429,465,104,0
SOK,1637884800,9948,7206,210,141,40,3
SOM,1637884800,5897,4846,152,63,30,0
SON,1637884800,7367,4947,192,115,60,0
UH,1637884800,10017,8132,285,133,91,0
WAK,1637884800,15480,12948,343,270,129,1
WE,1637884800,4498,3399,114,57,46,1
TH,1637884800,203944,164961,4927,3372,1592,10
