Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1620950400,6756,5837,282,6,14,4
AP,1620950400,3995,3724,75,11,16,2
EA,1620950400,1883,1670,69,4,5,0
EF,1620950400,8329,7757,252,26,65,6
EIC,1620950400,6039,5621,227,5,19,0
G,1620950400,5597,5148,190,18,31,0
GRZ,1620950400,7648,6663,205,10,47,0
GTH,1620950400,8150,7513,198,2,49,0
HBN,1620950400,5023,4551,232,0,13,0
IK,1620950400,6237,5722,204,20,23,1
J,1620950400,4243,4010,72,6,26,2
KYF,1620950400,3536,3217,130,12,21,0
NDH,1620950400,2685,2394,66,15,20,0
SHK,1620950400,4620,4252,115,8,17,0
SHL,1620950400,2107,1937,108,3,3,2
SLF,1620950400,6552,5955,274,17,22,0
SM,1620950400,9671,9018,347,9,30,0
SOK,1620950400,6363,5535,159,16,18,0
SOM,1620950400,3973,3683,121,13,31,1
SON,1620950400,3942,3256,156,10,24,0
UH,1620950400,6084,5583,240,22,19,0
WAK,1620950400,7998,7325,230,14,20,1
WE,1620950400,2514,2313,99,10,9,0
TH,1620950400,123945,112684,4051,257,542,19
