Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1666051200,37582,35147,491,141,76,0
AP,1666051200,31243,29759,139,104,68,1
EA,1666051200,0,0,0,0,0,0
EF,1666051200,75619,73318,555,232,33,0
EIC,1666051200,44513,43161,363,0,68,0
G,1666051200,34369,33044,378,56,54,0
GRZ,1666051200,37611,36365,400,0,31,0
GTH,1666051200,50394,48942,362,172,175,2
HBN,1666051200,27138,25535,427,0,51,0
IK,1666051200,45810,43862,442,143,42,0
J,1666051200,44364,41926,165,188,83,2
KYF,1666051200,25683,24453,250,53,48,0
NDH,1666051200,27422,26412,106,70,50,0
SHK,1666051200,35591,33466,236,136,52,1
SHL,1666051200,12218,11623,192,31,67,1
SLF,1666051200,40306,38790,575,82,84,1
SM,1666051200,53583,50959,708,217,256,3
SOK,1666051200,33101,31653,344,33,29,0
SOM,1666051200,26137,25331,249,102,100,0
SON,1666051200,23397,22020,294,37,64,0
UH,1666051200,41925,40629,425,124,134,0
WAK,1666051200,61295,58329,455,377,233,0
WE,1666051200,26123,25162,174,76,109,0
TH,1666051200,835424,799886,7730,2374,1907,11
