Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1664582400,36128,34596,486,0,11,0
AP,1664582400,30240,29421,136,0,0,0
EA,1664582400,0,0,0,0,0,0
EF,1664582400,73117,71445,554,0,106,0
EIC,1664582400,43274,42325,359,0,28,0
G,1664582400,33265,32358,375,0,4,0
GRZ,1664582400,36696,35746,395,0,19,0
GTH,1664582400,48738,47511,354,0,27,0
HBN,1664582400,26146,25337,426,0,7,0
IK,1664582400,43966,42884,440,0,27,0
J,1664582400,42668,41247,163,0,8,0
KYF,1664582400,24932,24091,250,0,0,0
NDH,1664582400,26630,26048,105,0,4,0
SHK,1664582400,34146,33022,232,0,15,0
SHL,1664582400,11687,11320,189,0,1,0
SLF,1664582400,39137,37902,563,0,4,0
SM,1664582400,51069,49291,698,0,12,0
SOK,1664582400,32210,31432,340,0,5,0
SOM,1664582400,25365,24862,248,0,0,0
SON,1664582400,22617,21686,292,0,0,0
UH,1664582400,40600,39457,423,0,9,0
WAK,1664582400,58564,57017,455,0,0,0
WE,1664582400,25138,24645,172,0,1,0
TH,1664582400,806333,783643,7655,0,288,0
