Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1626220800,6905,6592,293,3,0,0
AP,1626220800,4112,4035,77,0,0,0
EA,1626220800,1961,1884,76,0,1,1
EF,1626220800,8627,8349,273,0,1,0
EIC,1626220800,6247,5991,250,0,4,0
G,1626220800,5706,5501,202,1,1,0
GRZ,1626220800,7862,7615,230,2,0,0
GTH,1626220800,8680,8462,205,3,1,0
HBN,1626220800,5398,5133,248,0,2,1
IK,1626220800,6513,6295,218,0,0,0
J,1626220800,4338,4247,83,1,0,0
KYF,1626220800,3684,3539,144,1,1,0
NDH,1626220800,2938,2866,70,0,0,0
SHK,1626220800,4737,4611,126,0,0,0
SHL,1626220800,2176,2063,113,0,0,0
SLF,1626220800,6782,6494,288,0,0,0
SM,1626220800,10007,9632,370,3,1,0
SOK,1626220800,6461,6276,181,0,0,0
SOM,1626220800,4165,4032,133,0,0,0
SON,1626220800,4246,4081,163,-1,-1,0
UH,1626220800,6426,6160,264,0,1,0
WAK,1626220800,8310,8058,249,0,0,0
WE,1626220800,2619,2514,103,0,1,0
TH,1626220800,128900,124430,4359,13,13,2
