Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1660176000,34342,32566,477,35,92,0
AP,1660176000,29173,28162,133,24,97,0
EA,1660176000,0,0,0,0,0,0
EF,1660176000,69730,68459,536,53,106,0
EIC,1660176000,41619,40596,355,1,47,0
G,1660176000,31609,30717,370,40,30,0
GRZ,1660176000,35349,34390,372,40,42,0
GTH,1660176000,46438,45651,346,37,45,0
HBN,1660176000,25202,24409,418,8,25,0
IK,1660176000,41565,40701,434,27,46,0
J,1660176000,40423,38640,149,0,72,0
KYF,1660176000,23911,22836,242,-1,31,0
NDH,1660176000,25627,25017,105,0,34,0
SHK,1660176000,32620,31324,225,0,46,0
SHL,1660176000,11240,10918,185,7,11,0
SLF,1660176000,37536,36600,553,1,34,0
SM,1660176000,48412,47046,685,202,74,3
SOK,1660176000,31205,30326,335,38,33,0
SOM,1660176000,24473,24016,246,20,25,1
SON,1660176000,21608,20716,289,11,29,1
UH,1660176000,38272,37372,417,23,94,0
WAK,1660176000,55936,54395,452,51,56,1
WE,1660176000,24054,23211,166,0,40,0
TH,1660176000,770344,748068,7490,617,1109,6
