Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1667001600,38221,35802,492,0,39,0
AP,1667001600,31593,30144,140,31593,30144,140
EA,1667001600,0,0,0,0,0,0
EF,1667001600,76936,74657,555,76936,74657,555
EIC,1667001600,45221,43977,365,0,39,0
G,1667001600,34981,33859,384,34981,33859,384
GRZ,1667001600,38122,36868,403,0,35,0
GTH,1667001600,51126,49975,369,0,19,0
HBN,1667001600,27514,25774,432,0,4,0
IK,1667001600,46594,45152,444,0,100,0
J,1667001600,44942,42620,170,44942,42620,170
KYF,1667001600,26003,24722,255,0,4,0
NDH,1667001600,27771,26833,106,0,20,0
SHK,1667001600,36125,34002,241,0,56,0
SHL,1667001600,12402,11954,195,12402,11954,195
SLF,1667001600,40790,39486,577,40790,39486,577
SM,1667001600,54491,52575,718,54491,52575,718
SOK,1667001600,33439,31989,344,33439,31989,344
SOM,1667001600,26654,25827,250,26654,25827,250
SON,1667001600,23747,22334,297,23747,22334,297
UH,1667001600,42544,41397,425,42544,41397,425
WAK,1667001600,62281,59871,456,62281,59871,456
WE,1667001600,26529,25851,177,26529,25851,177
TH,1667001600,848026,815669,7795,511329,492880,4688
