Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1628985600,6962,6619,293,0,0,0
AP,1628985600,4120,4042,78,0,0,0
EA,1628985600,1972,1885,78,1,2,0
EF,1628985600,8694,8392,273,0,1,0
EIC,1628985600,6279,6023,250,0,1,0
G,1628985600,5754,5529,205,0,2,0
GRZ,1628985600,7894,7645,240,0,0,0
GTH,1628985600,8721,8496,205,0,2,0
HBN,1628985600,5434,5178,249,0,0,0
IK,1628985600,6544,6309,218,0,3,0
J,1628985600,4366,4254,84,0,0,0
KYF,1628985600,3689,3541,145,0,0,0
NDH,1628985600,2949,2873,70,0,0,0
SHK,1628985600,4772,4636,128,0,0,0
SHL,1628985600,2185,2070,113,0,0,0
SLF,1628985600,6795,6502,288,0,0,0
SM,1628985600,10076,9688,371,0,1,0
SOK,1628985600,6516,6316,185,0,0,0
SOM,1628985600,4176,4032,136,0,0,0
SON,1628985600,4264,4093,164,0,0,0
UH,1628985600,6434,6165,264,0,0,0
WAK,1628985600,8333,8074,250,3,1,0
WE,1628985600,2630,2517,103,0,0,0
TH,1628985600,129559,124879,4390,4,13,0
