Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1638662400,11799,8440,341,3,68,0
AP,1638662400,7948,6087,94,63,65,0
EA,1638662400,0,0,0,0,0,0
EF,1638662400,17855,15875,314,0,535,0
EIC,1638662400,9718,8555,269,99,86,0
G,1638662400,9648,7904,255,0,231,0
GRZ,1638662400,12605,9220,258,71,29,0
GTH,1638662400,16259,14011,239,0,213,0
HBN,1638662400,9632,7111,302,0,52,0
IK,1638662400,12007,10934,286,124,168,0
J,1638662400,8216,5932,100,32,56,0
KYF,1638662400,7415,6286,158,53,94,0
NDH,1638662400,5339,4404,75,25,78,1
SHK,1638662400,9234,6086,159,54,43,0
SHL,1638662400,3806,2822,133,9,8,1
SLF,1638662400,12073,9554,357,257,169,0
SM,1638662400,17011,13999,449,0,150,0
SOK,1638662400,11560,7742,223,457,93,5
SOM,1638662400,7341,5182,157,78,60,0
SON,1638662400,8135,5637,205,75,82,3
UH,1638662400,11031,8638,316,69,74,8
WAK,1638662400,16821,14190,348,72,131,0
WE,1638662400,5231,3715,116,0,28,0
TH,1638662400,230684,182324,5154,1541,2513,18
