Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1676160000,40284,39608,530,0,6,0
AP,1676160000,32519,32291,150,0,4,0
EA,1676160000,0,0,0,0,0,0
EF,1676160000,80324,79568,622,0,7,0
EIC,1676160000,46911,46395,384,0,13,0
G,1676160000,36726,36281,409,0,4,0
GRZ,1676160000,39353,38854,445,0,2,0
GTH,1676160000,52802,52332,380,0,14,0
HBN,1676160000,28168,27688,443,0,1,0
IK,1676160000,48362,47840,456,0,3,0
J,1676160000,47027,46616,183,0,15,0
KYF,1676160000,26851,26514,274,0,12,0
NDH,1676160000,28999,28803,111,0,15,0
SHK,1676160000,37607,37224,258,0,4,0
SHL,1676160000,12836,12620,209,0,0,0
SLF,1676160000,41899,41242,596,0,5,0
SM,1676160000,56683,55814,762,0,18,0
SOK,1676160000,34375,33969,353,0,1,0
SOM,1676160000,27633,27318,269,0,3,0
SON,1676160000,24526,24140,305,0,7,0
UH,1676160000,43851,43364,448,0,4,0
WAK,1676160000,64374,63713,469,0,4,0
WE,1676160000,27389,27159,195,0,3,0
TH,1676160000,879499,869353,8251,0,145,0
