Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1681430400,40620,39972,541,4,2,0
AP,1681430400,32727,32519,154,0,1,1
EA,1681430400,0,0,0,0,0,0
EF,1681430400,81278,80516,628,9,16,0
EIC,1681430400,47449,46988,387,3,0,0
G,1681430400,36960,36509,414,1,0,0
GRZ,1681430400,39623,39110,453,8,4,1
GTH,1681430400,53188,52752,384,11,3,0
HBN,1681430400,28402,27890,444,3,0,1
IK,1681430400,48749,48257,462,1,4,0
J,1681430400,47496,47169,189,13,0,0
KYF,1681430400,26983,26672,277,1,1,0
NDH,1681430400,29309,29129,115,3,2,0
SHK,1681430400,38110,37787,262,10,8,0
SHL,1681430400,12940,12715,213,1,0,0
SLF,1681430400,42248,41579,609,3,2,0
SM,1681430400,57240,56417,777,5,2,1
SOK,1681430400,34638,34226,356,0,1,0
SOM,1681430400,27812,27518,272,3,0,0
SON,1681430400,24772,24431,311,0,4,0
UH,1681430400,44026,43544,454,2,1,0
WAK,1681430400,65213,64605,472,2,6,0
WE,1681430400,27654,27425,201,5,2,0
TH,1681430400,887437,877730,8375,88,59,4
