Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1612224000,4413,3254,146,36,57,1
AP,1612224000,2002,1718,36,28,24,2
EA,1612224000,893,789,28,0,12,0
EF,1612224000,4460,3965,139,54,2,6
EIC,1612224000,3510,3077,118,0,31,0
G,1612224000,2772,2513,112,7,23,2
GRZ,1612224000,3289,2980,107,22,30,1
GTH,1612224000,3641,3082,123,34,48,0
HBN,1612224000,3367,2928,138,22,26,1
IK,1612224000,3051,2710,107,32,19,2
J,1612224000,2619,2351,41,26,25,1
KYF,1612224000,1806,1576,71,10,33,2
NDH,1612224000,1454,1304,40,11,12,0
SHK,1612224000,2507,2204,66,15,46,0
SHL,1612224000,1142,966,70,21,6,2
SLF,1612224000,4046,3534,159,33,37,2
SM,1612224000,4877,4040,172,79,49,3
SOK,1612224000,3099,2649,60,22,26,0
SOM,1612224000,1899,1660,62,18,13,1
SON,1612224000,2551,2284,123,24,22,1
UH,1612224000,3975,3137,162,41,34,3
WAK,1612224000,3422,2930,107,0,40,0
WE,1612224000,1561,1365,74,0,12,0
TH,1612224000,66356,57016,2261,535,627,30
