Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1630368000,7053,6688,293,7,6,0
AP,1630368000,4162,4045,78,3,0,0
EA,1630368000,1982,1896,78,-3,-3,0
EF,1630368000,8838,8452,273,20,2,0
EIC,1630368000,6310,6030,250,15,1,0
G,1630368000,5816,5573,205,5,5,0
GRZ,1630368000,7917,7662,240,4,1,0
GTH,1630368000,8772,8534,205,4,5,0
HBN,1630368000,5474,5187,250,9,0,0
IK,1630368000,6586,6342,218,3,5,0
J,1630368000,4408,4273,84,4,3,0
KYF,1630368000,3710,3546,145,8,1,0
NDH,1630368000,2985,2895,70,0,3,0
SHK,1630368000,4794,4638,131,3,1,0
SHL,1630368000,2206,2080,113,8,3,0
SLF,1630368000,6825,6510,289,6,1,0
SM,1630368000,10142,9728,371,16,2,0
SOK,1630368000,6541,6322,184,6,0,0
SOM,1630368000,4204,4037,136,2,0,0
SON,1630368000,4314,4101,164,4,1,0
UH,1630368000,6443,6172,264,4,0,0
WAK,1630368000,8446,8112,250,11,11,0
WE,1630368000,2661,2526,104,5,2,0
TH,1630368000,130589,125349,4395,144,50,0
