Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1676937600,40335,39656,530,0,9,0
AP,1676937600,32555,32318,150,7,5,0
EA,1676937600,0,0,0,0,0,0
EF,1676937600,80537,79685,622,49,0,0
EIC,1676937600,47024,46486,385,25,8,0
G,1676937600,36776,36315,410,7,9,0
GRZ,1676937600,39385,38886,445,6,4,0
GTH,1676937600,52906,52398,381,12,1,0
HBN,1676937600,28204,27699,443,7,2,0
IK,1676937600,48459,47885,458,28,2,1
J,1676937600,47129,46711,183,16,19,0
KYF,1676937600,26884,26547,276,13,2,2
NDH,1676937600,29067,28848,112,11,5,1
SHK,1676937600,37717,37271,258,34,1,0
SHL,1676937600,12855,12626,210,0,1,0
SLF,1676937600,41951,41281,597,10,8,0
SM,1676937600,56815,55911,762,43,15,0
SOK,1676937600,34417,33987,353,0,3,0
SOM,1676937600,27673,27350,269,3,2,0
SON,1676937600,24581,24176,305,6,3,0
UH,1676937600,43877,43388,451,2,1,0
WAK,1676937600,64557,63824,469,36,7,0
WE,1676937600,27425,27183,196,7,5,0
TH,1676937600,881129,870431,8265,322,112,4
