Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1651017600,30692,28044,424,113,224,0
AP,1651017600,26474,24107,129,63,346,0
EA,1651017600,0,0,0,0,0,0
EF,1651017600,62949,61234,500,110,100,11
EIC,1651017600,34982,30332,330,155,403,0
G,1651017600,28292,27291,352,80,21,2
GRZ,1651017600,29526,25190,352,220,284,0
GTH,1651017600,42249,41030,331,110,81,0
HBN,1651017600,23033,20960,398,82,194,0
IK,1651017600,37198,35649,422,191,127,0
J,1651017600,34153,30318,141,295,550,1
KYF,1651017600,21766,19807,236,72,226,0
NDH,1651017600,23556,22239,101,37,210,0
SHK,1651017600,29444,27158,217,56,424,0
SHL,1651017600,10096,9603,174,25,34,0
SLF,1651017600,34985,33500,523,0,114,0
SM,1651017600,42784,40747,644,117,183,0
SOK,1651017600,29026,27245,315,58,256,0
SOM,1651017600,22720,22106,228,60,76,0
SON,1651017600,19787,17126,284,82,254,0
UH,1651017600,33536,31902,408,151,196,4
WAK,1651017600,49408,47022,440,160,241,0
WE,1651017600,21111,17829,149,176,305,0
TH,1651017600,687767,640439,7098,2413,4849,18
