Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1674432000,40165,39423,526,10,14,0
AP,1674432000,32450,32178,150,3,12,0
EA,1674432000,0,0,0,0,0,0
EF,1674432000,80060,79324,611,20,12,0
EIC,1674432000,46732,46237,382,18,15,0
G,1674432000,36670,36213,409,3,11,1
GRZ,1674432000,39295,38773,445,3,14,0
GTH,1674432000,52659,52170,378,23,7,0
HBN,1674432000,28138,27628,443,3,17,0
IK,1674432000,48274,47734,455,10,22,0
J,1674432000,46847,46344,176,43,65,0
KYF,1674432000,26813,26347,272,7,0,0
NDH,1674432000,28902,28592,111,10,34,0
SHK,1674432000,37508,37030,256,13,4,0
SHL,1674432000,12829,12612,208,4,3,0
SLF,1674432000,41819,41144,590,11,11,0
SM,1674432000,56478,55648,753,0,13,0
SOK,1674432000,34325,33883,348,3,5,0
SOM,1674432000,27577,27247,266,4,14,0
SON,1674432000,24454,24042,305,4,14,1
UH,1674432000,43800,43277,448,5,14,0
WAK,1674432000,64181,63527,468,11,50,0
WE,1674432000,27336,27104,193,8,6,0
TH,1674432000,877312,866477,8193,216,357,2
