Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1609027200,2734,1164,42,17,5,0
AP,1609027200,966,776,8,7,31,0
EA,1609027200,488,272,7,15,16,0
EF,1609027200,2724,2171,57,32,63,0
EIC,1609027200,2058,1401,57,4,77,2
G,1609027200,1993,1296,72,0,88,0
GRZ,1609027200,2244,1775,65,6,48,0
GTH,1609027200,1791,1312,58,12,55,0
HBN,1609027200,2111,1475,54,0,64,0
IK,1609027200,1844,1319,35,12,28,0
J,1609027200,1648,1125,16,8,17,0
KYF,1609027200,1062,815,23,1,20,1
NDH,1609027200,762,592,15,7,15,0
SHK,1609027200,1375,911,22,2,16,0
SHL,1609027200,645,403,14,4,13,0
SLF,1609027200,2080,1351,51,0,79,0
SM,1609027200,2487,1893,59,112,68,4
SOK,1609027200,1928,1365,21,27,17,0
SOM,1609027200,1076,826,21,6,19,0
SON,1609027200,1834,1324,62,13,29,0
UH,1609027200,2399,1437,44,47,21,1
WAK,1609027200,1951,1224,19,21,64,0
WE,1609027200,904,656,14,11,12,0
TH,1609027200,39104,26883,836,364,865,8
